id,Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
151,6/22/2023,Mid-Cap Index Inst Plus - Dividends on Equity Investments,Mid-Cap Index Inst Plus - Dividends on Equity Investments,113.35,credit,Dividend & Cap Gains,DELOITTE 401(K) PLAN,,
152,6/21/2023,VENMO            DES:CASHOUT    ID:XXXXX16504744             INDN:SARAH SOSCIA            CO ID:XXXXX81992 PPD,VENMO            DES:CASHOUT    ID:XXXXX16504744             INDN:SARAH SOSCIA            CO ID:XXXXX81992 PPD,260,credit,Transfer,Adv Plus Banking - 6710,,
153,6/21/2023,VENMO            DES:PAYMENT    ID:XXXXX25720629             INDN:SARAH SOSCIA            CO ID:XXXXX81992 WEB,VENMO            DES:PAYMENT    ID:XXXXX25720629             INDN:SARAH SOSCIA            CO ID:XXXXX81992 WEB,75,debit,Transfer,Adv Plus Banking - 6710,,
154,6/20/2023,SUNOCO XXXXXXXX03 03ALEXANDRIA VA,SUNOCO XXXXXXXX03 03ALEXANDRIA VA,50.88,debit,Gas & Fuel,American Express Gold Card,,
155,6/20/2023,VANGUARD BUY INVESTMENT XXXXXXXXXXX2237 WEB ID: VMC PUR,VANGUARD BUY INVESTMENT XXXXXXXXXXX2237 WEB ID: VMC PUR,3000,debit,Financial,PREMIER PLUS CKG,,
156,6/20/2023,AMERICAN EXPRESS ACH PMT WXXXX WEB ID: XXXXXX2111,AMERICAN EXPRESS ACH PMT WXXXX WEB ID: XXXXXX2111,60.19,debit,Credit Card Payment,PREMIER PLUS CKG,,
157,6/20/2023,TST* Pearls Bagels,TST* Pearls Bagels,11,debit,Fast Food,CREDIT CARD,,
158,6/20/2023,"From: JPMORGAN CHASE BANK, N.A. - Funds Received","From: JPMORGAN CHASE BANK, N.A. - Funds Received",3000,credit,Investments,Mark H. Remmey Jr. Brokerage Account,,
159,6/20/2023,TENCENT HOLDINGS LTD UNSPON ADR - Fee,TENCENT HOLDINGS LTD UNSPON ADR - Fee,0.78,credit,Trade Commissions,Mark H. Remmey Jr. Brokerage Account,,
160,6/20/2023,TENCENT HOLDINGS LTD UNSPON ADR - Reinvestment,TENCENT HOLDINGS LTD UNSPON ADR - Reinvestment,5.75,debit,Investments,Mark H. Remmey Jr. Brokerage Account,,
161,6/20/2023,VANGUARD FEDERAL MONEY MARKET FUND (Settlement Fund) - Sweep in,VANGUARD FEDERAL MONEY MARKET FUND (Settlement Fund) - Sweep in,3000,debit,Investments,Mark H. Remmey Jr. Brokerage Account,,
162,6/20/2023,TENCENT HOLDINGS LTD UNSPON ADR - Dividend,TENCENT HOLDINGS LTD UNSPON ADR - Dividend,6.53,credit,Dividend & Cap Gains,Mark H. Remmey Jr. Brokerage Account,,
163,6/20/2023,TENCENT HOLDINGS LTD UNSPON ADR - Reinvestment,TENCENT HOLDINGS LTD UNSPON ADR - Reinvestment,4.3,debit,Investments,Mark H. Remmey Jr. Roth IRA Brokerage Account,,
164,6/20/2023,TENCENT HOLDINGS LTD UNSPON ADR - Dividend,TENCENT HOLDINGS LTD UNSPON ADR - Dividend,4.89,credit,Dividend & Cap Gains,Mark H. Remmey Jr. Roth IRA Brokerage Account,,
165,6/20/2023,TENCENT HOLDINGS LTD UNSPON ADR - Fee,TENCENT HOLDINGS LTD UNSPON ADR - Fee,0.59,credit,Trade Commissions,Mark H. Remmey Jr. Roth IRA Brokerage Account,,
166,6/19/2023,PAYPAL *LYFT X RIDESXXXXXX0278 CA,PAYPAL *LYFT X RIDESXXXXXX0278 CA,3.15,debit,Ride Share,American Express Gold Card,,
167,6/19/2023,UBER ONE help.uber.com CA,UBER ONE help.uber.com CA,9.99,debit,Ride Share,American Express Gold Card,,
168,6/19/2023,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,60.19,credit,Income,American Express Gold Card,,
169,6/19/2023,PAYPAL *ANCESTRYDNA,PAYPAL *ANCESTRYDNA,10,debit,Internet,CREDIT CARD,,
170,6/19/2023,TST* DANIEL O'CONNELL'S I,TST* DANIEL O'CONNELL'S I,112.21,debit,Alcohol & Bars,CREDIT CARD,,
171,6/19/2023,KILWINS,KILWINS,16.94,debit,Restaurants,CREDIT CARD,,
172,6/19/2023,CHATGPT SUBSCRIPTION,CHATGPT SUBSCRIPTION,21.2,debit,Entertainment,CREDIT CARD,,
173,6/19/2023,Jacks Place,Jacks Place,59.6,debit,Restaurants,CREDIT CARD,,
174,6/18/2023,PAYPAL *UBER XXXXXX1039 CA,PAYPAL *UBER XXXXXX1039 CA,16.03,debit,Ride Share,American Express Gold Card,,
175,6/18/2023,PAYPAL *UBER XXXXXX1039 CA,PAYPAL *UBER XXXXXX1039 CA,10.83,debit,Ride Share,American Express Gold Card,,
176,6/18/2023,TST* WEST WING CAFE,TST* WEST WING CAFE,12.09,debit,Restaurants,CREDIT CARD,,
177,6/18/2023,METRO 047-BRADDOCK ROAD,METRO 047-BRADDOCK ROAD,34,debit,Public Transportation,CREDIT CARD,,
178,6/18/2023,MISHA'S COFFEE,MISHA'S COFFEE,5,debit,Coffee Shops,CREDIT CARD,,
179,6/18/2023,CHIPOTLE 0245,CHIPOTLE 0245,15.17,debit,Fast Food,CREDIT CARD,,
180,6/16/2023,VENMO            DES:PAYMENT    ID:XXXXX34963749             INDN:SARAH SOSCIA            CO ID:XXXXX81992 WEB,VENMO            DES:PAYMENT    ID:XXXXX34963749             INDN:SARAH SOSCIA            CO ID:XXXXX81992 WEB,75,debit,Transfer,Adv Plus Banking - 6710,,
181,6/16/2023,SQ *COMPASS COFFEE,SQ *COMPASS COFFEE,3.79,debit,Coffee Shops,CREDIT CARD,,
182,6/16/2023,TST* WEST WING CAFE,TST* WEST WING CAFE,12.09,debit,Restaurants,CREDIT CARD,,
183,6/16/2023,VANGUARD WINDSOR II INVESTOR CL - Dividend,VANGUARD WINDSOR II INVESTOR CL - Dividend,153.47,credit,Dividend & Cap Gains,Mark H. Remmey Jr. Brokerage Account,,
184,6/16/2023,VANGUARD WINDSOR II INVESTOR CL - Reinvestment,VANGUARD WINDSOR II INVESTOR CL - Reinvestment,153.47,debit,Investments,Mark H. Remmey Jr. Brokerage Account,,
185,6/15/2023,VENMO            DES:PAYMENT    ID:XXXXX08777487             INDN:SARAH SOSCIA            CO ID:XXXXX81992 WEB,VENMO            DES:PAYMENT    ID:XXXXX08777487             INDN:SARAH SOSCIA            CO ID:XXXXX81992 WEB,15,debit,Transfer,Adv Plus Banking - 6710,,
186,6/15/2023,VENMO            DES:PAYMENT    ID:XXXXX08758881             INDN:SARAH SOSCIA            CO ID:XXXXX81992 WEB,VENMO            DES:PAYMENT    ID:XXXXX08758881             INDN:SARAH SOSCIA            CO ID:XXXXX81992 WEB,119.92,debit,Transfer,Adv Plus Banking - 6710,,
187,6/15/2023,PAYPAL *UBER XXXXXX1039 CA,PAYPAL *UBER XXXXXX1039 CA,20.34,debit,Ride Share,American Express Gold Card,,
188,6/15/2023,MICROSOFT EDIPAYMENT PPD ID: XXXXXX4442,MICROSOFT EDIPAYMENT PPD ID: XXXXXX4442,2714.75,credit,Paycheck,PREMIER PLUS CKG,,
189,6/15/2023,"DFAS-IN IND, IN ARMY RC PPD ID: XXXXXX6039","DFAS-IN IND, IN ARMY RC PPD ID: XXXXXX6039",427.49,credit,Income,PREMIER PLUS CKG,,
190,6/15/2023,APPLE.COM/BILL,APPLE.COM/BILL,1.05,debit,Electronics & Software,CREDIT CARD,,
191,6/15/2023,Match,Match,30.31,credit,Investments,Thrift Savings Plan - Uniformed Services,,
192,6/15/2023,Roth,Roth,151.54,credit,Investments,Thrift Savings Plan - Uniformed Services,,
193,6/15/2023,Automatic (1%),Automatic (1%),7.58,credit,Transfer,Thrift Savings Plan - Uniformed Services,,
194,6/15/2023,PARTIC CONTR CURRENT PARTICIPANT CUR YR (Cash),PARTIC CONTR CURRENT PARTICIPANT CUR YR (Cash),180.3,credit,Investments,Health Savings Account,,
195,6/14/2023,PAYPAL *APPLE.COM/BIXXXXXX2273 CA,PAYPAL *APPLE.COM/BIXXXXXX2273 CA,12.99,debit,Electronics & Software,American Express Gold Card,,
196,6/14/2023,PAYPAL *GITHUB INC,PAYPAL *GITHUB INC,10,debit,Electronics & Software,CREDIT CARD,,
197,6/14/2023,"DepositBANK OF AMERICA, NA RASP FRAC BUY ....","DepositBANK OF AMERICA, NA RASP FRAC BUY ....",80.01,debit,Transfer,SARAH IRA,,
198,6/14/2023,"DepositBANK OF AMERICA, NA RASP FRAC BUY ....","DepositBANK OF AMERICA, NA RASP FRAC BUY ....",83.43,debit,Transfer,SARAH ROTH,,
199,6/13/2023,INTEREST PAYMENT,INTEREST PAYMENT,0.02,credit,Interest Income,PREMIER PLUS CKG,,
200,6/13/2023,DividendISHARES RUSSELL 1000 VALUE HOLDING ...,DividendISHARES RUSSELL 1000 VALUE HOLDING ...,20.06,credit,Investments,SARAH IRA,,
201,6/13/2023,DividendISHARES EDGE MSCI MIN VOL EAFE ETF ...,DividendISHARES EDGE MSCI MIN VOL EAFE ETF ...,26.23,credit,Investments,SARAH IRA,,
202,6/13/2023,DividendISHARES TR CORE MSCI INTL DEVELOPED...,DividendISHARES TR CORE MSCI INTL DEVELOPED...,27.08,credit,Investments,SARAH IRA,,
203,6/13/2023,DividendISHARES RUSSELL 1000 GROWTH HOLDING...,DividendISHARES RUSSELL 1000 GROWTH HOLDING...,6.64,credit,Investments,SARAH IRA,,
204,6/13/2023,DividendISHARES RUSSELL 1000 VALUE HOLDING ...,DividendISHARES RUSSELL 1000 VALUE HOLDING ...,20.69,credit,Investments,SARAH ROTH,,
205,6/13/2023,DividendISHARES EDGE MSCI MIN VOL EAFE ETF ...,DividendISHARES EDGE MSCI MIN VOL EAFE ETF ...,27.54,credit,Investments,SARAH ROTH,,
206,6/13/2023,DividendISHARES TR CORE MSCI INTL DEVELOPED...,DividendISHARES TR CORE MSCI INTL DEVELOPED...,28.16,credit,Investments,SARAH ROTH,,
207,6/13/2023,DividendISHARES RUSSELL 1000 GROWTH HOLDING...,DividendISHARES RUSSELL 1000 GROWTH HOLDING...,7.04,credit,Investments,SARAH ROTH,,
208,6/13/2023,Purchase {tc}VANGUARD 500 INDEX FUND SHS ETF CLI...,Purchase {tc}VANGUARD 500 INDEX FUND SHS ETF CLI...,1982.28,debit,Investments,CMA-Edge XXZ-X7892,,
209,6/13/2023,WithdrawalML DIRECT DEPOSIT PROGRM,WithdrawalML DIRECT DEPOSIT PROGRM,1982,credit,Transfer,CMA-Edge XXZ-X7892,,
210,6/12/2023,CHASE CREDIT CRD DES:EPAY       ID:XXXXX58681                INDN:SARAH REMMEY            CO ID:XXXXX39224 WEB,CHASE CREDIT CRD DES:EPAY       ID:XXXXX58681                INDN:SARAH REMMEY            CO ID:XXXXX39224 WEB,3390,debit,Credit Card Payment,Adv Plus Banking - 6710,,
211,6/12/2023,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,54.08,credit,Income,American Express Gold Card,,
212,6/12/2023,AMERICAN EXPRESS ACH PMT WXXXX WEB ID: XXXXXX2111,AMERICAN EXPRESS ACH PMT WXXXX WEB ID: XXXXXX2111,54.08,debit,Credit Card Payment,PREMIER PLUS CKG,,
213,6/12/2023,IL PORTO RISTORANTE,IL PORTO RISTORANTE,207.43,debit,Restaurants,CREDIT CARD,,
214,6/12/2023,DepositML DIRECT DEPOSIT PROGRM,DepositML DIRECT DEPOSIT PROGRM,1800,debit,Transfer,CMA-Edge XXZ-X7892,,
215,6/11/2023,PAYPAL *APPLE.COM/BIXXXXXX2273 CA,PAYPAL *APPLE.COM/BIXXXXXX2273 CA,0.99,debit,Electronics & Software,American Express Gold Card,,
216,6/11/2023,PAYPAL *UBER XXXXXX1039 CA,PAYPAL *UBER XXXXXX1039 CA,8.7,debit,Ride Share,American Express Gold Card,,
217,6/11/2023,TST* WEST WING CAFE,TST* WEST WING CAFE,14.94,debit,Restaurants,CREDIT CARD,,
218,6/11/2023,PAYPAL *MANGOLINEIN,PAYPAL *MANGOLINEIN,74.19,credit,Income,CREDIT CARD,,
219,6/11/2023,SQ *THE ITALIAN PLACE,SQ *THE ITALIAN PLACE,29.16,debit,Restaurants,CREDIT CARD,,
220,6/9/2023,C43710 WEST BROA DES:DIR DEP    ID:54B61F867E21A1            INDN:REMMEY SARAH            CO ID:XXXXX83648 PPD,C43710 WEST BROA DES:DIR DEP    ID:54B61F867E21A1            INDN:REMMEY SARAH            CO ID:XXXXX83648 PPD,4279.35,credit,Paycheck,Adv Plus Banking - 6710,,
221,6/9/2023,Online Banking transfer to BRK 7892                         Confirmation# XXXXX32653,Online Banking transfer to BRK 7892                         Confirmation# XXXXX32653,1800,debit,Transfer,Adv Plus Banking - 6710,,
222,6/9/2023,Online Banking payment to CRD 1564                          Confirmation# XXXXX11129,Online Banking payment to CRD 1564                          Confirmation# XXXXX11129,304.27,debit,Credit Card Payment,Adv Plus Banking - 6710,,
223,6/9/2023,Online payment from CHK 6710             ,Online payment from CHK 6710             ,304.27,credit,Credit Card Payment,Customized Cash Rewards Visa Signature - 1564,,
224,6/9/2023,Funds ReceivedFR BAC#229042906710 SARAH C SOSCIA,Funds ReceivedFR BAC#229042906710 SARAH C SOSCIA,1800,credit,Investments,CMA-Edge XXZ-X7892,,
225,6/8/2023,EVER/BODY                WWW.EVERBODY.NY ,EVER/BODY                WWW.EVERBODY.NY ,65.72,debit,Health & Fitness,Customized Cash Rewards Visa Signature - 1564,,
226,6/8/2023,TST* WEST WING CAFE,TST* WEST WING CAFE,12.09,debit,Restaurants,CREDIT CARD,,
227,6/8/2023,TST* WEST WING CAFE,TST* WEST WING CAFE,6.6,debit,Restaurants,CREDIT CARD,,
228,6/8/2023,DIVIDEND RECEIVED MICROSOFT CORP (MSFT) (Cash),DIVIDEND RECEIVED MICROSOFT CORP (MSFT) (Cash),22.1,credit,Dividend & Cap Gains,Individual,,
229,6/7/2023,VENMO            DES:PAYMENT    ID:XXXXX54962833             INDN:SARAH SOSCIA            CO ID:XXXXX81992 WEB,VENMO            DES:PAYMENT    ID:XXXXX54962833             INDN:SARAH SOSCIA            CO ID:XXXXX81992 WEB,15,debit,Transfer,Adv Plus Banking - 6710,,
230,6/7/2023,LAZ PARKING XX0111-FLASH,LAZ PARKING XX0111-FLASH,24,debit,Parking,CREDIT CARD,,
231,6/6/2023,PL*PromaxManagem WEB PMTS LJXYXX WEB ID: XXXXXX8010,PL*PromaxManagem WEB PMTS LJXYXX WEB ID: XXXXXX8010,1782.26,debit,Mortgage & Rent,PREMIER PLUS CKG,,
232,6/6/2023,PL*PAYLEASE WEB PMTS ZGXYXX WEB ID: XXXXXX7225,PL*PAYLEASE WEB PMTS ZGXYXX WEB ID: XXXXXX7225,2.95,debit,Mortgage & Rent,PREMIER PLUS CKG,,
233,6/6/2023,X0006D CAVA CHINATOWN,X0006D CAVA CHINATOWN,12.27,debit,Restaurants,CREDIT CARD,,
234,6/6/2023,TST* WEST WING CAFE,TST* WEST WING CAFE,4.21,debit,Restaurants,CREDIT CARD,,
235,6/6/2023,"DepositBANK OF AMERICA, NA RASP FRAC BUY ....","DepositBANK OF AMERICA, NA RASP FRAC BUY ....",3.32,debit,Transfer,SARAH IRA,,
236,6/6/2023,"DepositBANK OF AMERICA, NA RASP FRAC BUY ....","DepositBANK OF AMERICA, NA RASP FRAC BUY ....",3.35,debit,Transfer,SARAH ROTH,,
237,6/6/2023,YOU BOUGHT FACT SHEET TO FOLLOW JPMORGAN CHASE BK N A CD 5.40000% 06/07/2024 (Cash),YOU BOUGHT FACT SHEET TO FOLLOW JPMORGAN CHASE BK N A CD 5.40000% 06/07/2024 (Cash),10000,debit,Investments,Individual,,
238,6/5/2023,COMCAST 8299610  DES:XXXXX6560  ID:5792600                   INDN:SARAH *REMMEY           CO ID:XXXXX13249 PPD,COMCAST 8299610  DES:XXXXX6560  ID:5792600                   INDN:SARAH *REMMEY           CO ID:XXXXX13249 PPD,25,debit,Television,Adv Plus Banking - 6710,,
239,6/5/2023,VENMO            DES:PAYMENT    ID:XXXXX79311548             INDN:SARAH SOSCIA            CO ID:XXXXX81992 WEB,VENMO            DES:PAYMENT    ID:XXXXX79311548             INDN:SARAH SOSCIA            CO ID:XXXXX81992 WEB,30,debit,Transfer,Adv Plus Banking - 6710,,
240,6/5/2023,US FITNESSCRXXXX EFT PPD ID: XXXXXX4319,US FITNESSCRXXXX EFT PPD ID: XXXXXX4319,79.99,debit,Gym,PREMIER PLUS CKG,,
241,6/5/2023,Payment to Chase card ending in XXXX 06/05,Payment to Chase card ending in XXXX 06/05,133.58,debit,Credit Card Payment,PREMIER PLUS CKG,,
242,6/5/2023,Payment Thank You - Web,Payment Thank You - Web,133.58,credit,Credit Card Payment,CREDIT CARD,,
243,6/5/2023,Advisory Program FeeMUTUAL FUND REBATE,Advisory Program FeeMUTUAL FUND REBATE,3.32,credit,Investments,SARAH IRA,,
244,6/5/2023,"WithdrawalBANK OF AMERICA, NA RASP FRAC SELL ...","WithdrawalBANK OF AMERICA, NA RASP FRAC SELL ...",15.22,credit,Investments,SARAH IRA,,
245,6/5/2023,Advisory Program FeeMUTUAL FUND REBATE,Advisory Program FeeMUTUAL FUND REBATE,3.35,credit,Investments,SARAH ROTH,,
246,6/5/2023,"WithdrawalBANK OF AMERICA, NA RASP FRAC SELL ...","WithdrawalBANK OF AMERICA, NA RASP FRAC SELL ...",15.89,credit,Investments,SARAH ROTH,,
247,6/4/2023,Amazon web services,Amazon web services,0.24,debit,Electronics & Software,CREDIT CARD,,
248,6/2/2023,KEYMELOCKSMITHS.COM      HTTPSKEY.ME  NJ ,KEYMELOCKSMITHS.COM      HTTPSKEY.ME  NJ ,23.28,debit,Shopping,Customized Cash Rewards Visa Signature - 1564,,
249,6/2/2023,USPS PO 5101140101       ALEXANDRIA   VA ,USPS PO 5101140101       ALEXANDRIA   VA ,22.27,debit,Shipping,Customized Cash Rewards Visa Signature - 1564,,
250,6/2/2023,EXXONMOBIL 9975 ALEXANDRIA VA,EXXONMOBIL 9975 ALEXANDRIA VA,44.39,debit,Gas & Fuel,American Express Gold Card,,
251,6/2/2023,PAYPAL *SPOTIFYUSAI,PAYPAL *SPOTIFYUSAI,9.99,debit,Music,CREDIT CARD,,
252,6/2/2023,Audible*JD4PW3GO3,Audible*JD4PW3GO3,15.85,debit,Books,CREDIT CARD,,
253,6/2/2023,GOOGLE *YouTubePremium,GOOGLE *YouTubePremium,12.71,debit,Television,CREDIT CARD,,
254,6/2/2023,DSW.,DSW.,90.09,debit,Clothing,CREDIT CARD,,
255,6/2/2023,Advisory Program FeeINV. ADVISORY FEE JUN,Advisory Program FeeINV. ADVISORY FEE JUN,15.22,debit,Investments,SARAH IRA,,
256,6/2/2023,Advisory Program FeeINV. ADVISORY FEE JUN,Advisory Program FeeINV. ADVISORY FEE JUN,15.89,debit,Investments,SARAH ROTH,,
257,6/1/2023,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,121.82,credit,Income,American Express Gold Card,,
258,6/1/2023,USAA FSB ICPAYMENT PPD ID: XXXXXX9165,USAA FSB ICPAYMENT PPD ID: XXXXXX9165,336.42,debit,Auto Payment,PREMIER PLUS CKG,,
259,6/1/2023,Payment to Chase card ending in XXXX 06/01,Payment to Chase card ending in XXXX 06/01,1049.85,debit,Credit Card Payment,PREMIER PLUS CKG,,
260,6/1/2023,AMERICAN EXPRESS ACH PMT WXXXX WEB ID: XXXXXX2111,AMERICAN EXPRESS ACH PMT WXXXX WEB ID: XXXXXX2111,121.82,debit,Credit Card Payment,PREMIER PLUS CKG,,
261,6/1/2023,Payment Thank You - Web,Payment Thank You - Web,1049.85,credit,Credit Card Payment,CREDIT CARD,,
262,6/1/2023,STARBUCKS STORE X0701,STARBUCKS STORE X0701,4.94,debit,Coffee Shops,CREDIT CARD,,
263,6/1/2023,PRINCIPAL,PRINCIPAL,301.71,credit,Loan Principal,My Auto Loan,,
264,6/1/2023,INTEREST,INTEREST,34.71,credit,Loan Interest,My Auto Loan,,
265,5/31/2023,MICROSOFT EDIPAYMENT PPD ID: XXXXXX4442,MICROSOFT EDIPAYMENT PPD ID: XXXXXX4442,3559.54,credit,Paycheck,PREMIER PLUS CKG,,
266,5/31/2023,The Black Tux,The Black Tux,382.66,debit,Clothing,CREDIT CARD,,
267,5/31/2023,"InterestBANK OF AMERICA, NA RASP 0.42000 DI...","InterestBANK OF AMERICA, NA RASP 0.42000 DI...",0,credit,Investments,SARAH IRA,,
268,5/31/2023,"InterestBANK OF AMERICA, NA RASP 0.29000 DI...","InterestBANK OF AMERICA, NA RASP 0.29000 DI...",0,credit,Investments,SARAH ROTH,,
269,5/31/2023,REINVESTMENT CASH (315994103) (Cash),REINVESTMENT CASH (315994103) (Cash),2.48,debit,Investments,Individual,,
270,5/31/2023,YOU SOLD MICROSOFT CORP (MSFT) (Cash),YOU SOLD MICROSOFT CORP (MSFT) (Cash),5352.99,credit,Sell,Individual,,
271,5/31/2023,INTEREST EARNED CASH (315994103) (Cash),INTEREST EARNED CASH (315994103) (Cash),2.48,credit,Investments,Individual,,
272,5/31/2023,YOU SOLD MICROSOFT CORP (MSFT) (Cash),YOU SOLD MICROSOFT CORP (MSFT) (Cash),166.29,credit,Sell,Individual,,
273,5/31/2023,DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),10.76,credit,Dividend & Cap Gains,Health Savings Account,,
274,5/31/2023,PARTIC CONTR CURRENT PARTICIPANT CUR YR (Cash),PARTIC CONTR CURRENT PARTICIPANT CUR YR (Cash),180.3,credit,Investments,Health Savings Account,,
275,5/31/2023,REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),10.76,debit,Investments,Health Savings Account,,
276,5/30/2023,CHASE CREDIT CRD DES:EPAY       ID:XXXXX68070                INDN:SARAH REMMEY            CO ID:XXXXX39224 WEB,CHASE CREDIT CRD DES:EPAY       ID:XXXXX68070                INDN:SARAH REMMEY            CO ID:XXXXX39224 WEB,3500,debit,Credit Card Payment,Adv Plus Banking - 6710,,
277,5/29/2023,EVER/BODY                WWW.EVERBODY.NY ,EVER/BODY                WWW.EVERBODY.NY ,78.24,debit,Health & Fitness,Customized Cash Rewards Visa Signature - 1564,,
278,5/29/2023,PAYPAL *LYFT X RIDESXXXXXX0278 CA,PAYPAL *LYFT X RIDESXXXXXX0278 CA,8.55,debit,Ride Share,American Express Gold Card,,
279,5/29/2023,PAYPAL *UBER XXXXXX1039 CA,PAYPAL *UBER XXXXXX1039 CA,3,debit,Ride Share,American Express Gold Card,,
280,5/29/2023,PAYPAL *UBER XXXXXX1039 CA,PAYPAL *UBER XXXXXX1039 CA,8.7,debit,Ride Share,American Express Gold Card,,
281,5/29/2023,SQ *THE ITALIAN PLACE,SQ *THE ITALIAN PLACE,55.01,debit,Restaurants,CREDIT CARD,,
282,5/29/2023,SQ *THE CHEWISH DELI,SQ *THE CHEWISH DELI,37.74,debit,Restaurants,CREDIT CARD,,
283,5/29/2023,SQ *THE ITALIAN PLACE,SQ *THE ITALIAN PLACE,2.7,debit,Restaurants,CREDIT CARD,,
284,5/29/2023,SQ *DOLCI GELATI ALEXANDR,SQ *DOLCI GELATI ALEXANDR,13.78,debit,Food & Dining,CREDIT CARD,,
285,5/29/2023,PAYPAL *MANGOLINEIN,PAYPAL *MANGOLINEIN,233.16,debit,Clothing,CREDIT CARD,,
286,5/28/2023,MISHA'S,MISHA'S,5,debit,Fast Food,CREDIT CARD,,
287,5/26/2023,C43710 WEST BROA DES:DIR DEP    ID:144DDED4FF6F8F            INDN:REMMEY SARAH            CO ID:XXXXX83648 PPD,C43710 WEST BROA DES:DIR DEP    ID:144DDED4FF6F8F            INDN:REMMEY SARAH            CO ID:XXXXX83648 PPD,3157.58,credit,Paycheck,Adv Plus Banking - 6710,,
288,5/25/2023,VENMO            DES:PAYMENT    ID:XXXXX98693793             INDN:SARAH SOSCIA            CO ID:XXXXX81992 WEB,VENMO            DES:PAYMENT    ID:XXXXX98693793             INDN:SARAH SOSCIA            CO ID:XXXXX81992 WEB,360,debit,Transfer,Adv Plus Banking - 6710,,
289,5/25/2023,WASHINGTON GAS   DES:PAYMENT    ID:XXXXX2788814              INDN:SARAH SOSCIA            CO ID:XXXXX62882 CCD,WASHINGTON GAS   DES:PAYMENT    ID:XXXXX2788814              INDN:SARAH SOSCIA            CO ID:XXXXX62882 CCD,46.23,debit,Utilities,Adv Plus Banking - 6710,,
290,5/25/2023,YOU SOLD MICROSOFT CORP (MSFT) (Cash),YOU SOLD MICROSOFT CORP (MSFT) (Cash),5197.87,credit,Sell,Individual,,
291,5/24/2023,VENMO            DES:PAYMENT    ID:XXXXX80197179             INDN:SARAH SOSCIA            CO ID:XXXXX81992 WEB,VENMO            DES:PAYMENT    ID:XXXXX80197179             INDN:SARAH SOSCIA            CO ID:XXXXX81992 WEB,62,debit,Transfer,Adv Plus Banking - 6710,,
292,5/24/2023,DEBIT CARD PURCHASE SQ *QUALITY TOUCH PHYS TAlexandria VA05222301046921600043 (Cash),DEBIT CARD PURCHASE SQ *QUALITY TOUCH PHYS TAlexandria VA05222301046921600043 (Cash),250,debit,Investments,Health Savings Account,,
293,5/23/2023,PURCHASE   0522 SPOTIFY                                     877-778-1161 NY XXXXX1531XXXXXXXXXX1080 RECURRING,PURCHASE   0522 SPOTIFY                                     877-778-1161 NY XXXXX1531XXXXXXXXXX1080 RECURRING,10.98,debit,Music,Adv Plus Banking - 6710,,
294,5/22/2023,VENMO            DES:CASHOUT    ID:XXXXX02890735             INDN:SARAH SOSCIA            CO ID:XXXXX81992 PPD,VENMO            DES:CASHOUT    ID:XXXXX02890735             INDN:SARAH SOSCIA            CO ID:XXXXX81992 PPD,29.3,credit,Transfer,Adv Plus Banking - 6710,,
295,5/21/2023,PAYPAL *LYFT X RIDE XXXXXX0278 CA,PAYPAL *LYFT X RIDE XXXXXX0278 CA,1.3,debit,Ride Share,American Express Gold Card,,
296,5/21/2023,VA DMV ALEXANDRIA CSC,VA DMV ALEXANDRIA CSC,42,debit,Auto & Transport,CREDIT CARD,,
297,5/21/2023,PAYPAL *ETSY INC,PAYPAL *ETSY INC,59.78,debit,Shopping,CREDIT CARD,,
298,5/21/2023,SQ *THE ITALIAN PLACE,SQ *THE ITALIAN PLACE,41.05,debit,Restaurants,CREDIT CARD,,
299,5/20/2023,EVER/BODY                WWW.EVERBODY.NY ,EVER/BODY                WWW.EVERBODY.NY ,91.23,debit,Health & Fitness,Customized Cash Rewards Visa Signature - 1564,,
300,5/19/2023,UBER ONE help.uber.com CA,UBER ONE help.uber.com CA,9.99,debit,Ride Share,American Express Gold Card,,
301,5/19/2023,CHATGPT SUBSCRIPTION,CHATGPT SUBSCRIPTION,21.2,debit,Entertainment,CREDIT CARD,,
302,5/19/2023,PAYPAL *MANGOLINEIN,PAYPAL *MANGOLINEIN,127.18,debit,Clothing,CREDIT CARD,,
303,5/18/2023,VENMO CASHOUT PPD ID: XXXXXX1992,VENMO CASHOUT PPD ID: XXXXXX1992,216.38,credit,Transfer,PREMIER PLUS CKG,,
304,5/18/2023,PEPCO PAYMENTUS BILLPAY PPD ID: XXXXXX0160,PEPCO PAYMENTUS BILLPAY PPD ID: XXXXXX0160,98.74,debit,Utilities,PREMIER PLUS CKG,,
